#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,JPN: Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,18845.2,13.2,64727.4,340.7,2943.6,69.1,30.3,606,7031.3,29.8,47,39.4,40,73.2,20.3,33,13.2,295,57.6,767.1,6164.1,14941.7,87.2,145.9,93.9,7.1,9,23.3,74.8,343.8,852.4,2040.5,1282.5,0,45560.8,0,0,1823.8,1723.7,6.3,0,655.3,-26007.9
TTL_C10T14: Mining and quarrying,,6.5,10.5,13.4,1.3,7.7,170.7,177275.2,1352.1,45.3,2441.8,15192,106.6,104.7,149,85.7,97,21.9,36.5,57337.6,1663.1,27.6,7.9,21.7,2.7,4.9,2,0.5,2.6,15.4,14.6,5.9,23.4,12.3,0,64.8,0,0,15.5,-41814.3,10.4,0,582.9,-206122.7
"TTL_C15T16: Food products, beverages and tobacco",,11527.9,17.7,45149.2,192.8,47.7,363.4,125.5,1780,176.3,92.1,199.6,130.2,257.9,325.5,109.3,124.2,41.4,88.3,334.6,482.2,2513.3,69714.4,507,855.9,555.6,78.8,24.9,196.7,488.2,716,2336.8,5357.6,1717,0,297580.9,0,0,30.5,3506.6,855.4,200.6,2851.1,-47706
"TTL_C17T19: Textiles, textile products, leather and footwear",,400.7,31.9,362.1,5748.3,48.6,437,87.6,282.2,1410,191.3,189.5,135,314.7,666.9,170.9,367.5,92.5,247.6,238.3,1139.1,2520.8,696.7,742,425.3,537,26.5,189.3,184.7,833.7,1085.2,77.7,1301.1,1482.9,0,52224.8,0,0,2504.1,-2783.6,909.2,364.8,6121.3,-43494.7
TTL_C20: Wood and products of wood and cork,,368.8,6.3,282.6,24.2,4456.5,2390.2,16.8,50.4,14.4,380.3,285,241.1,158.5,90.2,33.3,65.5,126.2,1688.2,329.6,19414.7,867.8,244,977.3,17.2,38.2,3,2,9.3,129.3,26.1,0.5,11.8,152.7,0,523.3,0,25.5,145.3,308.5,2.6,0,72.2,-10295.9
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,2318.3,18,11480.3,439.3,282.1,39031.6,113,7723.6,930.6,1914.9,824.2,1027,1979.5,5303.8,1205.4,1098.7,249.8,1392.5,1985.8,3202.8,16421,1698.4,4988.1,2876.3,11607.2,315.1,114.6,12996.5,9381,8723.5,3387.9,4353.4,6722.5,0,7876.3,0,0.6,75.2,-173.5,19.2,0,3812.3,-11790.3
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,5361.2,1040.2,3710.4,373.4,227.2,813.7,16989.4,34907,747.6,2683.6,8970.8,898.9,1277.6,1102.9,202.6,1005.6,485.6,393.8,38519.3,18399.2,19217.7,3387.1,34771.7,937.5,1202.9,1164.2,387.9,853.4,3033.9,9544.4,2425.1,4746.4,5602.8,0,117336.9,0,0,10.5,7018.4,442.1,144.5,13488.6,-40568.2
TTL_C24: Chemicals and chemical products,,7106.4,73.2,4868.4,3507,758.5,4853.7,4978.2,118018.1,33224.1,2703.7,3137.4,1154.3,2156.7,5565.9,1216.2,3760.7,808.6,12490.9,1089.1,3082.3,7442.9,1310.2,582.1,407.2,261.7,58.6,165.9,657.2,2339.9,1956.8,167,92220.5,4367.6,0,38506,0,0.3,72.6,44.7,520.4,162.4,64470.9,-56239.8
TTL_C25: Rubber and plastics products,,972.8,206.4,397.3,851.5,50.5,486.3,96.9,1210.7,24134,516,1474.7,964.1,16041.7,5443,3387,22667.9,2025,708.9,173,4068.1,21250.6,607.1,1840.3,275.1,122.8,17.9,109.4,59.6,289.4,3898.6,126.9,3630.5,2593.3,0,31833.9,0,0,32.7,1828,12.1,0,21180.9,-11229.9
