#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,GBR: United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,6118.9,21.1,17118.2,14.9,307.8,30.8,5.1,122.1,134.8,12.1,12.7,18.4,20.7,17.4,9.6,35.5,22.7,17.9,29.2,571.3,595.3,1659.8,223.2,31.3,68.7,7.5,24.5,29,89.9,49.3,112.5,178,129.3,0,24940.5,12.1,17.9,1695.8,548.4,58,38.4,4075.6,-11957.3
TTL_C10T14: Mining and quarrying,,35.2,9741.8,163.6,13.4,17,96.6,33306.1,1096.1,26.4,1460.2,1751.8,95.5,66.8,36.3,28.6,99.4,49.4,222.6,39873.8,2948.9,687.3,144.9,482.4,67.7,255.4,57.3,30.4,108.3,487.2,137.6,92.9,174.1,168.8,0,1690.8,6.3,0.1,864,-501.8,15.2,102.8,40137.4,-55375.4
"TTL_C15T16: Food products, beverages and tobacco",,2956.6,81.1,15587.9,161.5,19.4,207.2,84.9,614.7,107.8,120.2,186.6,49.5,95.5,147.7,43.1,166.5,92.9,48.1,142,375.4,5591,18717.8,639.5,355.4,487.8,25.9,29.7,116.4,1086.6,233.6,821.4,2149.5,1085.7,0,88468.7,1.3,0.1,290.7,1161.5,1997.6,1243.5,21306.1,-44715.6
"TTL_C17T19: Textiles, textile products, leather and footwear",,110.7,22.5,58.9,1778.6,6.2,69,4.6,88.6,93.3,28.1,9.2,14.2,27.4,13.1,9.9,302,97.2,159.1,9.8,307.5,732.7,173.2,71.7,60.3,68.3,10.4,9,20.5,152.6,353.3,161.6,365.1,205.3,0,31195.9,0.3,0.2,293.6,202,2198.1,5645.4,8148.6,-36110.8
TTL_C20: Wood and products of wood and cork,,61.4,39.6,119.8,19.9,3081.3,119.5,3.8,84.9,37.1,121.2,15.4,174.4,74.5,37.4,38.4,290.2,170,637.3,17.6,4790,203.3,104.6,56.1,42.4,74.9,35,13.4,20,196.8,24.9,235.7,55.3,91,0,2642.5,0.4,0.4,429.1,110.7,24,6.3,649.3,-3963.5
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,584.5,111.3,3622.3,271.1,170.9,12813.8,66.7,1081.3,721.4,410.5,73.2,245.1,340,212.9,171.7,276.6,318.5,282.1,379.1,1097.1,3114.3,509.7,1076.4,476.4,3232.4,373.5,136.2,867.5,3807,2571.1,2732.5,2456,1465,0,20667.1,46.8,12.3,2965.6,552,41.6,115,12216.2,-13181.1
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,1858.9,646.2,846.5,83,162.4,205.7,4303.9,1597.1,303.9,316.5,819.7,160.7,357.3,108.8,182.6,140.3,175.2,158,986.4,1011.3,3688.9,1176.6,5754.6,861.6,696.1,39.9,137.6,363.7,1236,1172.8,577.2,810.5,688,0,26028.6,0.5,0.4,36.7,636.2,911.4,557.5,28067.8,-32891.9
TTL_C24: Chemicals and chemical products,,1661.8,197.7,1504.6,767.3,221,1801.6,397.4,24412.7,4978.1,1125.7,404.1,663.5,344.3,375.3,870.2,2361,406.7,386.5,300.3,2012.8,1833.1,766.7,664.3,246.4,432.1,89.3,61.6,203.3,1581,770.5,1050.8,15886.7,1403.5,0,22367.7,8.9,2.4,686.4,584.9,1220.7,856.7,66261.4,-58748.4
TTL_C25: Rubber and plastics products,,401.3,42.3,2846,129.3,167.2,442.6,21.3,1304.5,3060.9,202.6,87.8,356.5,842.3,282.1,269.4,3657.9,439.1,550.8,51.5,6866.7,2687.7,96.2,1225.9,1437.1,310.3,49.8,26.7,173.3,406.4,253,300.3,672.4,252.1,0,4229.2,0.9,0.6,800.2,466.6,44.6,33.1,9167.1,-13882.4
