#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,USA: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,44320.9,47.7,99008.2,2220.2,10431,3499.2,4.3,2526.4,881.4,6.7,6.2,8.7,14.9,17.4,12.5,37.5,5.4,402.3,9,1283.5,4341,3615,45.1,70.4,30.6,148.6,5,14.3,621.8,1014.5,501.5,169.6,317.9,0,52953.2,103.6,0,375,-2418.6,93.7,14.7,20691.7,-15473.9
TTL_C10T14: Mining and quarrying,,1152,19228.2,917.2,133.5,43.1,1257.7,128880.5,9159.3,219,4888.4,9326.7,220.8,194,217.3,139.8,135.4,115,187.5,53801.2,9490,270.5,372,4683.6,150.4,157,2950.8,81.7,84.8,824.6,8036.2,227,300.4,620,0,5879.7,0,0,4162.9,-2477,42.2,122.7,5867.1,-85481.5
"TTL_C15T16: Food products, beverages and tobacco",,10613.5,73.3,64651.5,1082.5,79.2,949.4,177.9,2625.3,375.2,110.1,73.3,120.4,133.8,299.9,71.1,267.1,59.7,135.3,104.6,373.7,3118.1,42382.7,208.2,83.7,173.6,185.6,20.1,77.2,670.8,15215,18138,6293.6,2010.4,0,350563.7,0,0,712.7,2093.9,3017.6,3095.9,27301.6,-32617.8
"TTL_C17T19: Textiles, textile products, leather and footwear",,487.5,61.9,341.8,26122.5,394.6,2606.4,98.8,1107.9,1720,220.9,69.9,117.2,565.9,221.7,72.8,6021.4,462.7,3630.9,50.3,2364.2,3985,1108.3,305.2,117.4,83.3,397.9,80.1,41.7,541.1,3236.4,356.3,1917.7,1370.3,0,133861.7,0,0,636.9,2344.3,3222.5,4702.1,14953.6,-74566.9
TTL_C20: Wood and products of wood and cork,,555.6,123.2,324.7,124.6,20135.1,5191.9,14.3,387,1090.2,499.3,217.7,275.7,861.4,763.3,298.7,2004.6,143.3,7679.7,11.6,34652,2162,2190.3,1197.3,452.3,101.8,7668.1,274.3,741.9,442.5,2542.1,162.4,720.3,945.9,0,3613.5,0,0,295,1034.9,23.2,15.2,4541.1,-13912.1
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,687.9,833.2,18294.1,2244.8,750.1,95660.8,276.9,10062.5,4841.7,1928.6,1386.1,2624.3,2933.2,4766.4,1823.5,2987.5,971.8,3677.7,2163.3,5846.8,27264,8765.9,5221,4056.9,19167.9,5907.6,868.1,5250,29853.1,34406.9,6107.1,15631.9,8845,0,101143,18.9,1037,42254.9,2602.9,40.7,244.2,39496,-24616
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,4389.9,2335.2,1096.2,421.3,376.6,2165.1,3328.9,11117.1,1114.4,319.9,542.1,803.1,875.5,630.4,676,327.6,144.8,460,13435.8,16943.5,2551.2,1865.7,35486.7,295.9,1150.6,1003.9,181.9,251.2,5500.3,34088.3,749.4,2328.6,2812.1,0,83279.5,0,0,238.1,-1967,1162.6,1975.7,12804.6,-27674.2
TTL_C24: Chemicals and chemical products,,9884.8,2722.5,4329.8,11246.2,1519.9,11908,1667.8,87389.8,27978,2449.4,1071.6,4926.4,3001.8,5887.4,2779.7,4131.8,1025.2,4772.8,1533.5,7129.6,3436,1141.6,2687.2,861.9,2164.8,5901.6,184.2,787.3,7273.8,12713.8,1736.6,34600.9,3045.7,0,128019.2,0.1,0,4009.9,1884.3,1441.3,2471.3,70352.3,-67525.8
TTL_C25: Rubber and plastics products,,1325.5,695.1,10576.1,910.8,611.2,3485.2,165.8,8649.1,11976.7,882.4,735.2,2159.7,5943.8,4574,2095.4,15821.2,2613,7545.6,101.5,20247.6,11338,4881.7,4537,1769.3,943.1,1581.8,325.2,578.7,3260.9,6266.2,1274.1,5644,3460.8,0,25738.7,0,0,1235.7,1610.3,68.9,67.3,15864,-23604.8
